Date,AAPL,AMZN,BAC,CVX,DIS,GE,HD,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,ORCL,PFE,PG,WMT,XOM
2000-01-03,0.840094268321991,4.46875,12.490804672241211,16.052576065063477,22.736223220825195,129.77467346191406,38.16386413574219,57.73015594482422,24.710649490356445,23.554580688476562,23.125728607177734,13.710579872131348,21.167648315429688,25.42754364013672,35.66809844970703,23.714895248413086,11.856048583984375,27.213180541992188,14.239620208740234,17.406448364257812
2000-01-04,0.7692657709121704,4.096875190734863,11.749409675598145,16.052576065063477,24.068056106567383,124.583740234375,36.15140914916992,55.77059555053711,23.55678367614746,22.692256927490234,22.618324279785156,13.725775718688965,20.733600616455078,24.534517288208008,34.463199615478516,21.619447708129883,11.414350509643555,26.68955421447754,13.70681095123291,17.07305335998535
2000-01-05,0.7805225849151611,3.487499952316284,11.878348350524902,16.34051513671875,25.066919326782227,124.36741638183594,36.88322448730469,57.73015594482422,23.752056121826172,22.93178939819336,22.478687286376953,13.847378730773926,21.06747817993164,25.49803352355957,34.82658386230469,20.477622985839844,11.600325584411621,26.181795120239258,13.427074432373047,18.003801345825195
2000-01-06,0.7129775285720825,3.278125047683716,12.893732070922852,17.036378860473633,24.068056106567383,126.03021240234375,35.126861572265625,56.73479080200195,22.367408752441406,23.650413513183594,22.797815322875977,13.862579345703125,20.766986846923828,25.70953369140625,33.659950256347656,19.273061752319336,12.018771171569824,27.387737274169922,13.57359790802002,18.934547424316406
2000-01-07,0.7467504739761353,3.4781250953674316,12.555275917053223,17.336315155029297,23.687530517578125,130.91024780273438,37.17593765258789,56.485984802246094,23.290502548217773,24.656471252441406,23.21668243408203,14.77459716796875,21.301191329956055,28.177091598510742,34.09983444213867,20.753671646118164,12.832420349121094,29.57748031616211,14.599278450012207,18.878984451293945
2000-01-10,0.7336167693138123,3.4593749046325684,12.120108604431152,16.868406295776367,27.302488327026367,130.85617065429688,36.99299621582031,58.725521087646484,24.355607986450195,24.033672332763672,22.817768096923828,14.303397178649902,21.401355743408203,27.354557037353516,34.34846496582031,23.238088607788086,12.80917739868164,29.43468475341797,14.332871437072754,18.615036010742188
2000-01-11,0.6960915327072144,3.3375000953674316,11.86223316192627,16.712446212768555,27.58788299560547,131.07244873046875,36.04164505004883,59.223175048828125,25.473976135253906,24.113508224487305,22.279232025146484,14.789794921875,21.90216827392578,27.44855499267578,33.46870803833008,22.560522079467773,12.646446228027344,29.894855499267578,14.11972427368164,18.670604705810547
2000-01-12,0.6543447375297546,3.1781249046325684,11.991171836853027,16.652456283569336,25.637710571289062,131.50509643554688,35.748897552490234,59.47201919555664,25.917781829833984,23.889942169189453,22.418859481811523,14.956993103027344,22.837011337280273,27.989093780517578,32.37859344482422,21.20538330078125,13.064903259277344,29.70444107055664,13.86665153503418,18.559473037719727
2000-01-13,0.7261112332344055,3.296875,12.265165328979492,16.80842399597168,26.493885040283203,133.0191192626953,36.370948791503906,58.84991455078125,25.864530563354492,23.858015060424805,22.757930755615234,14.728982925415039,22.603307723999023,28.106586456298828,32.9905891418457,21.09245491027832,13.762307167053223,29.1966495513916,13.879961967468262,18.990121841430664
2000-01-14,0.7537862062454224,3.2125000953674316,13.02266788482666,16.7004451751709,25.542572021484375,130.639892578125,36.26118469238281,59.53424835205078,29.272899627685547,23.93784523010254,23.57570457458496,14.85059928894043,22.76188850402832,27.871583938598633,34.34846496582031,21.44379234313965,13.762307167053223,29.70444107055664,13.746755599975586,18.615036010742188
2000-01-18,0.7800536155700684,3.206249952316284,12.377982139587402,17.144350051879883,26.256057739257812,128.04434204101562,35.41957473754883,57.60573959350586,29.00661849975586,23.33101463317871,22.658206939697266,15.808202743530273,22.169273376464844,26.626054763793945,35.285587310791016,22.334659576416016,13.576338768005371,29.68857192993164,13.973210334777832,18.837310791015625
2000-01-19,0.7997548580169678,3.340625047683716,12.377982139587402,16.88040542602539,26.44632339477539,128.6661376953125,36.224586486816406,59.47201919555664,28.420806884765625,23.410871505737305,23.655487060546875,15.869009017944336,22.63668441772461,26.88455581665039,32.74195098876953,22.93694496154785,13.762307167053223,29.37225341796875,13.653523445129395,19.017906188964844
2000-01-20,0.8518210053443909,3.237499952316284,12.14025592803955,16.796432495117188,25.590139389038086,126.26000213623047,35.60254669189453,59.223175048828125,27.160429000854492,23.490705490112305,23.635540008544922,16.021011352539062,22.736845016479492,27.42508316040039,32.43595886230469,23.790176391601562,13.53565502166748,28.656232833862305,13.506996154785156,18.601150512695312
2000-01-21,0.8354038596153259,3.1031250953674316,11.78165054321289,17.000368118286133,24.92422866821289,124.69184875488281,35.126861572265625,60.46735382080078,27.817243576049805,22.963727951049805,23.276506423950195,16.264211654663086,21.93556785583496,27.237085342407227,31.747465133666992,23.96584701538086,13.041655540466309,26.142257690429688,13.307186126708984,18.89287757873535
2000-01-24,0.7974098324775696,3.5062499046325684,11.491536140441895,17.048368453979492,25.352313995361328,119.50091552734375,33.95596694946289,60.46735382080078,28.065773010253906,21.382780075073242,23.296463012695312,15.777806282043457,21.10086441040039,26.414548873901367,30.982460021972656,21.757478713989258,12.785929679870605,26.253631591796875,12.654483795166016,18.726171493530273
2000-01-25,0.8424393534660339,3.4625000953674316,11.636592864990234,17.000368118286133,28.53919792175293,119.82527160644531,32.858253479003906,59.28538513183594,28.84684944152832,21.782014846801758,23.81504249572754,16.021011352539062,21.26780128479004,26.649559020996094,31.460582733154297,22.660905838012695,12.97191047668457,24.82160186767578,13.027458190917969,18.684490203857422
